Перечень основных характеристик и параметров элементов к схеме кинематической принципиальной								Перечень основных характеристик и параметров элементов к схеме кинематической принципиальной						
Зона (куда входит)	Поз. обозначение см. рис.	Число зубьев зубчатых колес или заходов червяков, ходовых винтов и гаек	Модуль или шаг, мм	Ширина обода зубчатого колеса, диаметр червяка, винта, мм	Обозначение	Название		Зона (куда входит)	Поз. обозначение см. рис.	Число зубьев зубчатых колес или заходов червяков, ходовых винтов и гаек	Модуль или шаг, мм	Ширина обода зубчатого колеса, диаметр червяка, винта, мм	Обозначение	Название
Бабка передняя	1	-	-	-	165.01.021	Шкив		Коробка подач с питчевыми резьбами 	100	34	2,5	16	16М50.70.167	Колесо зубчатое
	2	-	-	-	1А64.02.761	Шкив			101	30	3	16	16М50.70.166	Колесо зубчатое
	3	32	3,5	25	165.02.446	Колесо зубчатое			102	27	3,5	16	16М50.70.165	Колесо зубчатое
	4	54		25	1А64.02.842	Колесо зубчатое			103	36	2,75	16	16М50.70.164	Колесо зубчатое
	5	21	4	30	1А64.02.841	Колесо зубчатое			104	48	2,5	16	16М50.70.163	Колесо зубчатое
	6	35		30	1А64.02.848	Колесо зубчатое			105	42	2,75	16	16М50.70.162	Колесо зубчатое
	7	49		30	1А64.02.862	Колесо зубчатое			106	39	2,75	16	16М50.70.161	Колесо зубчатое
	8	35		30	1А64.02.864	Колесо зубчатое			107	36	2,75	16	16М50.70.160	Колесо зубчатое
	9	18	6	27	1А64.02.865	Колесо зубчатое			108	44	2,5	10	16М50.70.158	Колесо зубчатое
	10	21	4,5	65	1А64.02.853	Колесо зубчатое			109	44	2,5	16	1Н65.71.165	Колесо зубчатое
	11	42	4	22	1А64.02.861	Колесо зубчатое			110	34	2,5	16	16М50.70.156	Колесо зубчатое
	12	36	5	29	1А64.02.348	Колесо зубчатое			111	51	2,5	16	16М50.70.155	Колесо зубчатое
	13	49	4	30	1А64.02.349	Колесо зубчатое			112	68	2,5	16	16М50.70.153	Колесо зубчатое
	14	38	6	27	165.02.801	Колесо зубчатое			113	34	2,5	16	1Н65.71.009 	Колесо зубчатое
	15	42	4	24	165.02.800	Колесо зубчатое			114	51	2,5	14	1Н65.71.156	Колесо зубчатое
	16	59	4,5	56	1А64.02.851	Колесо зубчатое			115	67	2,75	14	16М50.70.151	Колесо зубчатое
	17	36	5	30	1А64.02.850	Колесо зубчатое		Фартук	116	28	3	25	1Н65.60.170	Колесо зубчатое-муфта
	18	50		51	165.02.439	Колесо зубчатое			117	30		25	164.06.164	Колесо зубчатое
	19	24		60	1А64.02.381	Колесо зубчатое			118	48	3,5	30	1А64.06.123	Венец
	20	48	6	80	165.02.160	Колесо зубчатое			119	4		77	1А64.06.437	Червяк
	21	20	5	35	165.02.410	Вал - колесо зубчатое			120	32		20	1Н65.60.178	Колесо зубчатое
	22	75	6	70	165.02.151	Колесо зубчатое			121	51		20	1А64.06.398	Колесо зубчатое
	23	60	5	50	165.02.152	Колесо зубчатое			122	18		34	1Н65.60.161	Валик - колесо зубчатое
	24	40		50	165.02.372	Колесо зубчатое			123	68		30	1М64.60.199	Колесо зубчатое
	25	40		18	165.02.406	Колесо зубчатое			124	12	5	58	1Н65.60.168/1	Валик - колесо зубчатое
	26	50		22	165.02.406	Колесо зубчатое			125	53	3,5	16	1Н65.60.176/1	Колесо зубчатое
	27	35	3	22	1А64.02.832	Колесо зубчатое			126	53		34	1Н65.60.181	Колесо зубчатое
	28	38		50	164.02.173	Колесо зубчатое			127	41		16	1А64.06.404	Колесо зубчатое
	29	57		22	1А64.02.866	Колесо зубчатое			128	41		20	1А64.06.393	Колесо зубчатое
	30	35		22	1А64.02.832	Колесо зубчатое			129	53	3,5	42	1Н65.60.177	Колесо зубчатое
	31	34	2	15	1А64.02.942	Колесо зубчатое			130	53		20	1Н65.60.182	Колесо зубчатое
	32	68		12	1А64.02.884	Колесо зубчатое			131	42		20	1Н65.60.183	Колесо зубчатое
Патрон	33	120	6	62	165.09.169	Венец			132	52		19,5	1Н65.60.151/1	Колесо зубчатое
Колеса зубчатые сменные	a	76	2,5	25	165.08.177	Колесо зубчатое			133	40		30,5	1Н65.60.151/2	Колесо зубчатое
	b	114		25	165.08.178	Колесо зубчатое			134	55		27	1Н65.60.154	Колесо зубчатое
	c	114		25	165.08.178	Колесо зубчатое			135	1	12	150	1М64.60.102	Гайка
Коробка подач	34	63	2,75	14	1А64.07.380	Колесо зубчатое			136	18	3	25	1658.06.101	Колесо зубчатое
	35	37		14	1А64.07.380	Колесо зубчатое			137	34		25	1М64.60.179	Колесо зубчатое
	36	37		10	1А64.07.254	Колесо зубчатое			138	22		25	1М64.60.188	Колесо зубчатое
	37	53		14	1А64.07.257	Колесо зубчатое			139	45	1	9	1М63Б.60.281	Блок зубчатый
	38	50	2,25	14	1А64.07.208	Колесо зубчатое			140	29		9	1М63Б.60.281	Блок зубчатый
	39	54	2,5	14	1А64.07.257	Колесо зубчатое			141	142		9	1М63Б.60.282	Колесо зубчатое
	40	48		18	1А64.07.254	Колесо зубчатое			142	69		9	1М63Б.60.283	Колесо зубчатое
	41	32		16	1А64.07.288	Колесо зубчатое			143	30	3	14	1Н65.60.162	Колесо зубчатое
	42	36		16	1А64.07.289	Колесо зубчатое			144	21		13	1Н65.60.164	Колесо зубчатое
	43	40		16	1А64.07.290	Колесо зубчатое			145	37	2,5	13	1Н65.60.165	Колесо зубчатое
	44	44		16	1А64.07.291	Колесо зубчатое			146	18		13	1Н65.60.166	Валик - колесо зубчатое
	45	48		16	1А64.07.292	Колесо зубчатое		Станина	147	Рейка	5	-	1М64.11.152	Рейка
	46	52	2,5	16	1А64.07.293	Колесо зубчатое			148	1	12	70	1Н65.10.151	Винт ходовой
	47	56		16	1А64.07.294	Колесо зубчатое		Бабка задняя	149	9	5	20	1А64.03.210	Колесо зубчатое
	48	60		16	1А64.07.295	Колесо зубчатое			150	45	2	15	1А64.03.211	Колесо зубчатое
	49	32		152	1А64.07.381	Колесо зубчатое			151	16		18	1А64.03.212	Колесо зубчатое
	50	48		16	164.07.178	Колесо зубчатое			152	1	5	70	1А64.03.234	Червяк
	51	40		16	164.07.179	Колесо зубчатое			153	20		50	165.03.033	Колесо червячное
	52	63	2,25	14	1А64.07.261	Колесо зубчатое муфта			154	1	12         L.H.	90	1Н65.30.024	Гайка
	53	51	2,5	10	1А64.07.261	Колесо зубчатое муфта			155	1		60	165.03.152	Винт
	54	51		14	1А64.07.212	Колесо зубчатое			156	32	2,5	15	1Н65.30.157	Колесо зубчатое
	55	68		14	1А64.07.212	Колесо зубчатое			157	32		15	1Н65.30.158	Колесо зубчатое
	56	34		26	1А64.07.213	Колесо зубчатое		Каретка	158	17	3,5	29,5	1Н65.50.152	Колесо зубчатое
	57	34		10	1А64.07.361	Колесо зубчатое муфта			159	1	6              L.H.	36	1Н65.50.150	Винт
	58	68		14	1А64.07.361	Колесо зубчатое муфта			160	1		48	1Н65.50.101	Гайка
	59	51		14	1А64.07.359	Колесо зубчатое муфта							 1Н65.50.103	Колесо червячное
	60	40		10	1А64.07.359	Колесо зубчатое муфта			161	17	3,5	29,5	1Н65.50.153	Колесо зубчатое
	61	40		14	1А64.07.217	Колесо зубчатое			162	23	3	15	1Н65.50.179	Колесо коническое
	62	50	2,25	10	1А64.07.385	Муфта зубчатая			163	23		15	1Н65.50.155	Блок зубчатый
	63	50		16	1А64.07.362	Колесо зубчатое			164	25		13,5	1Н65.50.155	Блок зубчатый
	64	51	2,5	14	1А64.07.360	Колесо зубчатое			165	24		14	1Н65.50.154	Колесо зубчатое
	65	34		14	1А64.07.360	Колесо зубчатое			166	24		14	1Н65.50.154	Колесо зубчатое
	66	68		14	1А64.07.211	Колесо зубчатое		Суппорт	167	1	6	38	1Н65.40.100	Полугайка
	67	34		14	1А64.07.211	Колесо зубчатое							1Н65.40.101	Полугайка
	68	51		14	1658.07.163	Колесо зубчатое			168	1		30	1Н65.40.165	Винт ходовой
	69	72	2	12	1А64.07.408	Колесо зубчатое			169	25	3	13,5	1Н65.40.156	Колесо зубчатое
	70	32	2	12	1А64.07.173	Колесо зубчатое			170	23		15	1Н65.40.155	Колесо коническое
	71	20	2	12	1А64.07.171	Колесо зубчатое			171	23		15	1Н65.40.154	Колесо коническое
	72	34	2	12	1А64.07.173	Колесо зубчатое		Бабка передняя 	В1				165.02.445	Вал
	73	20	2	-	1А64.07.171	Колесо зубчатое			В2				1А64.02.881	Валик
	74	4	5	-	1А64.07.034	Гайка			В3				1А64.02.938	Вал
	75	4		-	1А64.07.034	Гайка			В4				1А64.02.857	Валик IV оси
	76	4		-	1А64.07.175	Винт			В5				1А64.02.898	Валик
	77	4		-	1А64.07.175	Винт			В6				165.02.430	Шпиндель
Коробка подач с питчевыми резьбами 	d	44	2,5	25	1Н65.08.154	Колесо зубчатое			В7				165.02.374	Валик
	e	58		25	1Н65.08.155	Колесо зубчатое			В8				1А64.02.880	Валик
	f	44		25	1Н65.08.156	Колесо зубчатое			В9				1А64.02.237	Валик
	g	88		25	1Н65.08.157	Колесо зубчатое		Коробка подач	В10				1А64.07.371	Вал
	h	88		25	1Н65.08.158	Колесо зубчатое			В11				1А64.07.395	Вал
	i	85		25	1Н65.08.159	Колесо зубчатое			В12				1А64.07.249	Валик
	78	28	2,75	16	16М50.70.169	Колесо зубчатое			В13				1А64.07.334	Ось
	79	61		16	16М50.70.196	Колесо зубчатое			В14				1А64.07.392	Валик
	80	37	3	10	16М50.70.196	Колесо зубчатое			В15				1658.07.162	Вал
	81	37		12	16М50.70.195	Колесо зубчатое			В16				1А64.07.222	Вал
	82	68	2,5	16	16М50.70.193	Колесо зубчатое			В17				1658.07.161	
	83	55	3	16	16М50.70.192	Колесо зубчатое		Коробка подач с питчевыми резьбами 	В18				1Н65.71.179	Вал
	84	45	3,5	16	16М50.70.191	Колесо зубчатое			В19				16М50.70.168	Вал
	85	57	2,75	16	16М50.70.189	Колесо зубчатое			В20				16М50.70.190	Вал
	86	52	2,5	16	16М50.70.188	Колесо зубчатое			В21				1Н65.71.152	Вал
	87	49	2,75	16	16М50.70.194	Колесо зубчатое			В22				1Н65.71.153	Вал
	88	52		16	16М50.70.187	Колесо зубчатое			В23				1Н65.71.151	Вал
	89	54	2,75	16	16М50.70.186	Колесо зубчатое		Станина	В24				1Н65.10.152	Вал ходовой
	90	57	2,5	16	16М50.70.184	Колесо зубчатое		Фартук	В25				1М64.60.194	Вал
	91	57	2,5	10	16М50.70.182	Колесо зубчатое			В26				1Н65.60.179	Валик
	92	68	2,5	16	16М50.70.182	Колесо зубчатое			В27				1Н65.60.180	Валик
	93	51	2,5	16	16М50.70.229	Колесо зубчатое			В28				1А64.06.403	Валик
	94	34	2,5	16	1Н65.71.008	Колесо зубчатое			В29				164.06.172	Валик
	95	34	2,5	10	16М50.70.179	Колесо зубчатое			В30				1Н65.60.163	Ось
	96	68	2,5	16	16М50.70.179	Колесо зубчатое		Каретка	В31				1Н65.50.158	Вал
	97	51	2,5	14	1Н65.71.155	Колесо зубчатое								
	98	26	2,75	14	1Н65.71.154	Колесо зубчатое								
	99	26	2,75	10	16М50.70.174	Вал колесо зубчатое								
