Наименование;Описание
# Диск инструментальный 1П756ДФ3.47.000 (Для Револьверной головки 1П756ДФ3.39.000);Диск инструментальный 1П756ДФ3.47.000 предназначен для установки режущего инструмента в револьверную головку станков с ЧПУ модели 1П756ДФ3. Обеспечивает надежную фиксацию и позиционирование резцов при обработке деталей.
# Зубчатое колесо пятой оси m-5 z-50 165.02.439 (Для станков 1М65 1Н65 ДИП500 165);Зубчатое колесо пятой оси m-5 z-50 165.02.439 предназначено для трансмиссии шпиндельной бабки токарно-винторезных станков моделей 1М65, 1Н65, ДИП500, 165. Обеспечивает передачу крутящего момента на пятую координатную ось при обработке сложных деталей.
# Муфта обгонная 1М65 60 900 (Для станков 1М65 165 ДИП500);Муфта обгонная 1М65 60 900 предназначена для установки в коробку скоростей токарно-винторезных станков модели 1М65. Обеспечивает односторонний поворот и защиту механизма от обратного вращения при переключении скоростей.
# Поддержка винта-вала 1М63 11 001 (Для станков 1М63);Поддержка винта-вала 1М63 11 001 предназначена для фиксации и поддержания ходовых винтов в шпиндельной бабке и каретке токарно-винторезных станков модели 1М63. Обеспечивает надежное крепление и центрирование винтов при работе.
# Шестерни для Китайских станков (произведено в РФ);Шестерни для замены изношенных передач на китайских токарных станках. Полная совместимость с оборудованием иностранного производства. Производство в РФ по оригинальным чертежам и техническим условиям.
# Шестерня сварная для фрезерного станка FU450;Шестерня сварная предназначена для передачи крутящего момента в главном приводе фрезерного станка FU450. Выполняет функцию промежуточного звена в кинематической цепи привода шпинделя, обеспечивая надежную передачу усилий при фрезеровании деталей.
4-х кулачковые механизированные патроны для обработки заготовок ф. 1250и 1500мм.;Четырехкулачковые механизированные патроны предназначены для крепления и центрирования крупногабаритных заготовок диаметром 1250 и 1500 мм на колесотокарных и специальных станках. Обеспечивают автоматизированный зажим при высоких требованиях к точности центрирования.
Блок шестерен;является основной частью коробки передач токарных станков. Предназначен для изменения и регулирования частоты вращения шпинделя и величины подачи инструмента при выполнении различных операций обработки деталей.
Блок шестерня;Блок шестерни предназначен для передачи крутящего момента в составе кинематической цепи станка. Представляет собой сборку нескольких зубчатых колес, работающих совместно для изменения скоростей и величины передаваемого момента при различных режимах обработки.
Блок шестерня второй оси m-4 z-35 z-35 1А64.02.841 (Для станков 1М65 1Н65 ДИП500 165);ельной бабки токарно-винторезных станков моделей 1М65, 1Н65, ДИП500, 165. Обеспечивает передачу крутящего момента на вторую ось.
Блок шестерня четвертой оси m-4;предназначен для трансмиссии шпиндельной бабки токарно-винторезных станков. Обеспечивает передачу крутящего момента на четвертую координатную ось при многоосевой обработке.
Блок-шестерни 28/49 консольно-фрезерных станков мод. FSS 400;Применяются в консоли консольно-фрезерного станка мод. FSS400 служит для осуществления работы и взаимодействия механизмов консоли и стола станка поставляется в паре.
Блок-шестерни и муфта консольно-фрезерных станков мод. FSS 400;Применяются в консоли консольно-фрезерного станка мод. FSS 400 служит для осуществления работы и взаимодействия механизмов консоли и стола станка поставляется в паре.
Болты для резцедержателей М16х2мм;Болты метрической резьбой М16х2 мм предназначены для крепления и фиксации резцов в резцедержателях токарных станков. Обеспечивают надежное закрепление инструмента при различных операциях обработки.
Болты для резцедержателей М22х2мм для ремонтных резцедержателей;Болты метрической резьбой М22х2 мм предназначены для крепления и фиксации резцов в специальных ремонтных резцедержателях токарных станков. Обеспечивают надежное закрепление инструмента при обработке деталей.
Вал 10-ти шлицевой 5-ой оси в сборе с шестернями 1М65 1Н65 ДИП500 165 РТ117 РТ817 шпиндельная бабка;Вал 10-ти шлицевой 5-ой оси в сборе с шестернями применяется в шпиндельной бабке токарно-винторезных станков моделей 1М65, 1Н65, ДИП500, 165, РТ117, РТ817. Вал предназначен для передачи крутящего момента и изменения скорости вращения шпинделя. Компоненты изготавливаются из высокопрочной стали и обеспечивают надежную передачу мощности, точность позиционирования и стабильную работу коробки скоростей при выполнении различных операций обработки деталей.
Вал 6-ти шлицевой для станков 1М63;Вал 6-ти шлицевой предназначен для передачи крутящего момента между узлами токарного станка при помощи шлицевого соединения. Обеспечивает надежную передачу вращения без проворачивания.
Вал первой оси (в сборе) шпиндельная бабка-коробка скоростей станков 1М65 1Н65 ДИП500 165;Вал первой оси в сборе является основным элементом трансмиссии шпиндельной бабки станка. Обеспечивает передачу и распределение крутящего момента от электродвигателя к шпинделю через коробку скоростей, обеспечивая различные режимы работы станка.
Вал фрикционный для фрезерных станков мод. 6Н12;Вал фрикционный предназначен для регулировки и управления вращением шпинделя фрезерного станка при различных режимах обработки. Обеспечивает плавное включение и отключение передачи мощности при выполнении различных операций фрезерования.
Вал шестерня фартука токарно-винторезного станка мод. 1К62;Вал-шестерня предназначена для передачи движения фартуку станка при включении режима подачи. Обеспечивает связь между коробкой передач и механизмом подачи инструмента.
Вал шлицевой зажима разжима кулачков токарных патронов станков 1Н983;Вал шлицевой предназначен для передачи усилия зажима и разжима кулачков токарного патрона на специальном трубном станке 1Н983. Обеспечивает надежное управление зажимом при крепле
Вал-Шестерня перемещения венца токарного патрона (Для станков 1М65 1Н65 ДИП500 165 устанавливается в шпиндельную бабку);Вал-шестерня предназначена для передачи движения системе зажима и разжима кулачков токарного патрона. Обеспечивает синхронное перемещение венца при автоматическом закреплении и отпускании заготовки в патроне.
Вал-шестерня револьверной головки 1П756ДФ3.40.000;Применяется в резцедержателе (в 4-х позиционной револьверной головки 1П756ДФ3.40.000), станков специальных с ЧПУ мод. 1П756ДФ3, используется в качестве запасной части. Применяется для придания вращения корпуса револьверной головки.
Валик шпиндельной бабки станков 16К40;Применяется в качестве запасной части в шпиндельной бабке токарно-винторезных станков мод. 16К40. Поставляются как отдельно так и совместно с шестернями.
Валы фрикционные (фрикционы) 2М55, 2М58;Применяются в станках 2М55, 2М58 в качестве запасной части и служит для переключения вала и регулирования числа оборотов станка.
Валы шлицевые 2-ой 3-ей 4-ой 5-ой оси (Для станков 1М65 1Н65 ДИП500 165) шпиндельная бабка;Валы шлицевые предназначены для передачи крутящего момента в системе коробки скоростей шпиндельной бабки станка. Обеспечивают связь между различными ступенями передач и обеспечивают возможность изменения частоты вращения шпинделя.
Венец (колесо зубчатое) токарного патрона Ø 630мм. станков РТ783,РТ783Ф3;Применяется в качестве запасной части в специальном токарном патроне Ø 630мм. (левый, правый патрон) специальных трубообрабатывающих станков мод. РТ783, РТ783Ф3 и т.д., служит для вращения патрона. Поставляется как отдельно так и совместно с кулачками, ползушками, винтами, сухарями.
Венец колесо зубчатое токарного патрона Ø 1000мм станков 1М65;Венец зубчатый предназначен для передачи крутящего момента при вращении токарного патрона диаметром 1000 мм станка 1М65. Обеспечивает надежное зацепление с приводным механизмом при зажиме и отпуске детали в патроне.
Виброопоры для промышленного оборудования;Виброопоры предназначены для изоляции вибрации промышленного оборудования от фундамента и конструкций. Изделия обеспечивают амортизацию динамических нагрузок и защиту оборудования от вибрационного воздействия. Виброопоры изготавливаются из специальных эластомерных материалов и обеспечивают надежную виброизоляцию, снижение шума при работе оборудования и продление срока эксплуатации станочного оборудования и других механизмов.
Вилка 1М63 02 072;Вилка предназначена для передачи движения от механизма управления к различным элементам станка. Обеспечивает угловое соединение и передачу движения при включении и выключении различных узлов токарных станков.
Вилка переключения фрикциона 16К20.020.074 токарно-винторезного станка мод. 16К20;Применяется для переключения фрикционного вала токарно-винторезного станка мод. 16К20 служит для осуществления работы и взаимодействия механизмов станка и шпиндельной бабки (коробки скоростей).
Вилка реверса шпиндельной бабки для станков 1М63,1М63Н, 163,ДИП300;Вилка реверса шпиндельной бабки предназначена для изменения направления вращения шпинделя станка. Устанавливается в шпиндельной бабке и обеспечивает надежное переключение между прямым и обратным вращением шпинделя. Деталь изготавливается из высокопрочной стали и обеспечивает точное и безопасное управление направлением вращения при выполнении различных токарных операций. Используется в токарно-винторезных станках моделей 1М63, 1М63Н, 163, ДИП300 для надежной работы механизма реверса.
Винт поперечный в сборе для станков 1М63, 1М63Н, 163, ДИП300, 16К40;Винт в сборе применяется в каретках токарно-винторезных станках для поперечного перемещения каретки станков, поставляется в сборе.
Винт поперечный кареточный винт две гайки чугун Для станков 1М65;Винт поперечный с двумя гайками предназначен для обеспечения поперечного перемещения каретки токарно-винторезного станка 1М65. Чугунная конструкция обеспечивает надежность и долговечность при высоких нагрузках при обработке деталей.
Винт поперечный под конусную линейку кареточный;Применяется в каретках токарно-винторезных станков для поперечного перемещения верхнего суппорта. Поставляется как отдельно, так и в комплекте с двумя бронзовыми гайками.
Винт с гайкой поперечной подачи 16К20 стандартный и удлиненный на 100мм.;Винт с гайкой предназначен для обеспечения поперечного перемещения суппорта токарно-винторезного станка 16К20. Поставляется в двух вариантах: стандартной длины и удлиненной на 100 мм для специальных конфигураций станка.
Винт с гайкой поперечной подачи для импортного оборудования;Применяется в каретках токарно-винторезных станков для поперечного перемещения верхнего суппорта, поставляется в комплекте с бронзовой гайкой.
Винты;применяются в различных узлах и механизмах токарных станков и промышленного оборудования для крепления деталей и передачи движения. Используются в коробках передач, суппортах, люнетах и других элементах станков.
Винты в комплекте с гайками для люнетов станков 1М63 1М63Н 16К40 1М65 1Н65 РТ117 РТ817 ДИП300 ДИП400 ДИП 500;Винты с гайками предназначены для крепления и фиксации люнетов на различных токарно-винторезных станках. Обеспечивают надежное удержание люнета при обработке длинных деталей, защищая их от прогиба и вибраций.
Винты к трубному патрону для импортных станков;Набор из 4шт. для перемещения кулачков в специальных токарных патронах трубных станков импортного производства.
Вкладыши бронза для кривошипных прессов мод. КЕ2330;Вкладыши бронзовые предназначены для уменьшения трения в опорных узлах кривошипных прессов модели КЕ2330. Обеспечивают длительную и бесперебойную работу оборудования при штампировке и формовке металла.
Вкладыши бронза для прессов мод. Zanni 200 Италия;Вкладыши бронзовые предназначены для снижения трения в опорных узлах гидравлических прессов модели Zanni 200 производства Италия. Обеспечивают плавное скольжение рабочих органов и увеличивают ресурс оборудования при прессовании и формовке материалов.
Водило УГ9311.0207.000 для револьверной головки УГ9326;Водило УГ9311.0207.000 предназначено для установки режущего инструмента в револьверную головку УГ9326 станков с ЧПУ. Обеспечивает надежную фиксацию и позиционирование резцов при автоматическом переключении инструмента.
Втулка переходная центров для станков;Устанавливается в шпиндельную бабку и в шпиндель, служит для установки центров станков. Имеет специальное исполнение и поставляется как отдельно, так и в комплекте с глухими центрами.
Гайка бронза головки 1П756ДФ3.40.000;Гайка бронзовая предназначена для крепления и фиксации компонентов револьверной головки 1П756ДФ3. Обеспечивает надежное соединение с минимальным люфтом при циклических нагрузках во время работы станка.
Гайка маточная ( с корпусом) для станков 1М63,1М63Н, 16К40, 1Н65,1М65 и т.д.;Применяется в фартуках токарно-винторезных станков 1М63, 1М63Н, 16К40, 1Н65, 1М65 и т.д. в качестве запасной части через которую проходит ходовой винт, может поставляться как отдельно (разрезная бронзовая гайка состоящая из 2-х полугаек) так и в комплекте с чугунным корпусом.
Гайка ШВП для станков РТ755Ф3 поперечная, продольная (Российского производства);Применяется в специальных токарных станках с ЧПУ мод. РТ755Ф3 для преобразования вращательного движения в прямолинейное, устанавливается на поперечное и продольное перемещение суппорта станка, кинематическая точность 4-6мкм.
Гайка шпинделя специального станка глубокого сверления и растачивания РТ403;Гайка шпинделя предназначена для крепления сверлильной головки на шпиндели специального станка глубокого сверления и растачивания модели РТ403. Устанавливается на шпиндель станка в шпиндельной бабке. Гайка обеспечивает надежное крепление инструмента и точное позиционирование при выполнении операций сверления и растачивания отверстий. Изготавливается из высокопрочной стали и обеспечивает надежную работу при высоких скоростях вращения и значительных нагрузках.
Гидрораспределители для промышленного оборудования;Применяется в качестве запасной части в различном промышленном оборудовании. Область применения машиностроение, тяжелое машиностроение, нефтегазовый комплекс, станкостроение и другое промышленное оборудование.
Гнездо 163.04.174;Гнездо предназначено для крепления и направления различных механизмов токарного станка. Обеспечивает точное позиционирование элементов конструкции и служит опорной точкой для передачи усилий при работе станка.
Головка электромеханическая ЭМГ-50 для фрезерных;Головка электромеханическая ЭМГ-50 предназначена для автоматизации управления и позиционирования на фрезерных станках. Обеспечивает электромеханическое управление ходом каретки и коллектив движения инструмента во время обработки деталей.
Диск инструментальный 1П756ДФ3.47.000 Для Револьверной головки 1П756ДФ3.39.000 станка 1П756ДФ3;Диск инструментальный применяется в революольверной головке 1П756ДФ3.39.000 станка 1П756ДФ3 в качестве запасной части служит для установки и крепления режущего инструмента.
Диски индексирующие для карусельных станков 1512,1516,1525;Применяется в качестве запасной части в специальных карусельно-токарных станках 1512, 1516, 1525, поставляются комплектом, от 2-х шт., так и единично, каленые.
Диски фрикционные (6-ти и 8-ми шлицевые) для станков и промышленного оборудования;Диски фрикционные предназначены для передачи крутящего момента в муфтах сцепления станков и промышленного оборудования. Обеспечивают плавное включение и отключение привода при различных режимах работы и защищают механизм от перегрузок.
Диски фрикционные 1М63.21.387 и 1М63.21.388 для станков 1М63;Диски фрикционные предназначены для обеспечения фрикционной передачи крутящего момента в механизме привода главного шпинделя токарно-винторезного станка 1М63. Обеспечивают мягкое включение и плавную работу передачи при различных режимах.
Диски фрикционные для кран балок;Диски фрикционные предназначены для передачи крутящего момента в муфтах сцепления кран-балок и подъемного оборудования. Обеспечивают плавное включение и защиту механизма от перегрузок при работе.
Диски фрикционные для станков 16Р25П;Диски фрикционные предназначены для фрикционной передачи крутящего момента в механизмах привода токарно-револьверного станка 16Р25П. Обеспечивают мягкое включение-отключение передач и регулировку скоростей при переходе между режимами работы.
Задняя бабка гидравлическая в комплекте с мостиком станков с ЧПУ 16К30Ф3;Шпиндельные бабки (коробки скоростей), коробки подач, верхние суппорта, ползушки, каретки, фартука, задние бабки (включая мостики): изготовление с нулевого цикла, начиная с литья корпусов - комплектация узлов: шестерни, шлицевые валы, подшипники, вилки, шпинделя и т.д. по капитальному ремонту и модернизации полная замена внутренних составляющих соответственно (шестерни, шлицевые валы, подшипники, расточка корпусов, шлифовка, общая сборка узлов).
Запасные части для Револьверных головок РГ УГ 9326 блок зубчатых колёс УГ9311.0200.53;Блок зубчатых колес предназначен для замены в револьверной головке типа РГ-УГ 9326. Обеспечивает передачу крутящего момента для синхронизации вращения револьверной головки и переключения позиций инструмента.
Запасные части для резцедержателей 1М65,1Н65,ДИП500,РТ117,РТ817;Каталог продукции включает следующие позиции: вилки штока поворотного, шпонки клиновые под инструментальные блоки (патроны), втулки регулировочные различных типоразмеров, направляющие и вкладыши каретки, оправки специальные для крепления инструмента. Продукция изготовлена из высокопрочных материалов и обеспечивает надежное крепление и точное позиционирование режущего инструмента при обработке деталей на всех этапах производства.
Запасные части для станков (Муфта электромагнитная Э144-2А в сборе с поводком-коронкой);Муфта электромагнитная Э144-2А в сборе с поводком-коронкой используется для включения и отключения шпинделя станка. Обеспечивает безопасное и надежное управление вращением шпинделя при обработке деталей на токарно-винторезных станках.
Запасные части для станков 1М63;Запасные части для токарно-винторезных станков модели 1М63. Полный ассортимент комплектующих для ремонта и восстановления узлов и механизмов станка. Все детали производятся по оригинальным чертежам с высокой точностью.
Запасные части для станков- муфта электромагнитная ЭТМ 096-2А в комплекте с дисками;Применяется в качестве запасной части электрической цепи для токарно-винторезных станков, прессов, фрезерных станков, сверлильных и шлифовальных станков. Применяются как отдельно так и с поводком-коронкой.
Запасные части для фрезерных станков FU-450 вал-шестерня FU-400.15.10.327;Вал-шестерня предназначен для замены в фрезерном станке модели FU-450. Обеспечивает передачу крутящего момента в кинематической цепи привода главного шпинделя при фрезеровании деталей.
Запасные части для фрезерных станков и станков с ЧПУ;Запасные части предназначены для обслуживания и ремонта фрезерных станков и станков с числовым программным управлением. Используются при замене изношенных деталей для восстановления первоначальной производительности и точности оборудования.
Запасные части к токарным станкам;Запасные части предназначены для обслуживания и ремонта токарных станков различных моделей. Используются при замене изношенных деталей для восстановления работоспособности оборудования и повышения его надежности.
Захват инструмента 6Т13МФ4-1.37.271 для фрезерных станков;Захват инструмента предназначен для надежного закрепления режущего инструмента в шпинделе фрезерного станка. Обеспечивает точное центрирование инструмента и его надежную фиксацию при выполнении операций фрезерования с высокой скоростью вращения.
Зубчатое колесо пятой оси m-4;предназначено для трансмиссии шпиндельной бабки токарно-винторезных станков. Обеспечивает передачу крутящего момента на пятую координатную ось при обработке многоосевых деталей.
Зубчатое колесо пятой оси m-4 z-49 1А64.02.349 (Для станков 1М65 1Н65 ДИП500 165);Зубчатое колесо пятой оси m-4 z-49 1А64.02.349 предназначено для трансмиссии шпиндельной бабки токарно-винторезных станков моделей 1М65, 1Н65, ДИП500, 165. Обеспечивает передачу крутящего момента на пятую координатную ось.
Зубчатое колесо третьей оси m-4 z-35 1А64.02.848 (Для станков 1М65 1Н65 ДИП500 165);Зубчатое колесо третьей оси m-4 z-35 1А64.02.848 предназначено для трансмиссии шпиндельной бабки токарно-винторезных станков моделей 1М65, 1Н65, ДИП500, 165. Обеспечивает передачу крутящего момента на третью ось.
Зубчатое колесо третьей оси m-6 z-18 1А64.02.865 (Для станков 1М65 1Н65 ДИП500 165);Зубчатое колесо третьей оси m-6 z-18 1А64.02.865 предназначено для трансмиссии шпиндельной бабки токарно-винторезных станков моделей 1М65, 1Н65, ДИП500, 165. Обеспечивает передачу крутящего момента на третью координатную ось.
Зубчатое колесо шпинделя m-5 z-75 Для станков 1М65 1Н65 ДИП500 165 РТ117 РТ817;Применяется в шпиндельной бабке устанавливается на шпиндель станка внутренняя посадка ф. 185мм.Н7, на шпонку (термообработанная, зубошлифованная).
Изготовление конических шестерен с круговым зубом;Конические пары с прямым и круговым зубом до 6 класса точности до m-26, D- 2 500 мм (в т.ч. гипоидные пары). Конические зубчатые передачи представляют собой механизм, который состоит из скрепленных колес с зубьями. Их применяют для преобразования крутящих моментов и угловых скоростей для передачи вращательного движения. Конические пары необходимы, когда пересекаются приводные валы и нужно передать вращательное движение. Гипоидная передача (гиперболоидная) - вид винтовой зубчатой передачи со скре
Изготовление пружин различных типов и конфигурации;Пружины изготавливаются различных типов и конфигураций для применения в механизмах токарных станков и промышленного оборудования. Используются для накопления энергии, амортизации и обеспечения упругого возврата элементов конструкции.
Изготовление пружин различных типов и конфигурации (пружины сжатия);Пружины сжатия предназначены для амортизации, накопления энергии и обеспечения упругого возврата элементов механизмов при работе станков и промышленного оборудования. Используются в различных узлах и механизмах для обеспечения надежной работы.
Изготовление пружин различных типов и конфигурации большие типоразмеры;Пружины большого типоразмера предназначены для использования в мощных механизмах и оборудовании, требующих значительных упругих усилий. Используются в буферных системах, амортизаторах и других узлах промышленного оборудования.
Изготовление шарико-винтовых пар класса точности П3;Шарико-винтовая передача – преобразует вращательное движение вала в линейное движение узла. Движение осуществляется за счет возвратно-поступательного перемещения шариков между винтовыми поверхностями винта и гайки при повороте одного из элементов пары. Шарико-винтовые пары класса точности П3 обеспечивают высокую точность позиционирования и надежную работу станков, обеспечивают стабильную подачу инструмента и точное перемещение рабочих узлов при обработке деталей.
Капитальный ремонт ШВП (63х10мм. поперечная) станка С ЧПУ РТ755Ф3;Доведение ШВП до состояния нового, гарантия на ШВП 6 месяцев, разборка ШВП, рихтовка вала, резьбошлифовка, изготовление новых гаек, восстановление/замена корпуса гаек, замена шариков, сборка ШВП, испытание, консервация. Технология ремонта и модернизации ШВП включает в себя: перешлифовку спецрезьбы и шеек винта ШВП при сохранении закаленного слоя, изготовление новой спецгайки, замену втулок вкладышей, корпуса спецгайки, шариков. Все точностные параметры восстановленной ШВП соответствуют новому из
Капитальный ремонт ШВП (80х10мм. Шарико-винтовой пары);Капитальный ремонт шарико-винтовой пары предназначен для восстановления и регулировки износившейся передачи в системах позиционирования станков с числовым программным управлением. Включает полную разборку, очистку, замену изношенных деталей и регулировку.
Клиновые опоры (чугун) исполнение 110,130,140;Клиновые опоры изготавливаются в исполнениях 110, 130, 140 (чугун) имеют две составные части, используются для установки станков и другого промышленного оборудования непосредственно на фундамент, имеют регулировочные болты с площадкой для выставки и регулировки основания станин оборудования на фундаменте. Имеют различную грузоподъемность в зависимости от устанавливаемого на них оборудования. Исполнение 110 - длина опоры 240мм, грузоподъемность до 2500кгс. Исполнение 130 - длина опоры 300мм, груз
Клиновые ремни для промышленного оборудования;Применяются в токарных фрезерных сверлильных, шлифальных станках и другом промышленном оборудовании для передачи вращательного движения от приводов оборудования (главного двигателя, двигателей) на шпинделя, и другие узлы промышленного оборудования. Имеют различные длины и конфигурацию. Поставляются в зависимости от мощности используемого оборудования и его технических характеристик.
Клинья для станков мод. 1М63;Клинья предназначены для регулировки зазоров в направляющих каретки и суппорта станка. Обеспечивают точное выравнивание и исключение люфтов при передаче движения от ходового винта к подвижным узлам станка.
Клинья для станков мод. ИР1250;Производство и поставка клиньев для станков, применяются в различных конструктивных вариантах и различных конструкционных деталей станочных узлов и механизмов.
Колесо зубчатое УГ9311.0200.057 для револьверной головки УГ9326;Колесо зубчатое УГ9311.0200.057 предназначено для трансмиссии револьверной головки УГ9326 станков с ЧПУ. Обеспечивает передачу крутящего момента при индексировании инструмента и автоматическом переключении позиций.
Кольца пружинные для токарных станков и промышленного оборудования;Кольца пружинные применяются в токарных станках и промышленном оборудовании для фиксации и удержания компонентов на валах и осях. Изделия обеспечивают надежное крепление деталей и предотвращают их смещение при работе оборудования. Кольца пружинные изготавливаются из высокопрочной стали и обеспечивают длительный срок эксплуатации, надежность функционирования и стабильность всей системы при выполнении различных операций обработки и обслуживания станочного оборудования.
